mes_ano;codigo_produto;preco_compra
2023-12;1013793;4,25
2023-12;1096818;1,7
2023-12;326779;7,65
2023-12;1088126;6,8
2023-12;544931;4,25
2023-12;394479;1,7
2023-12;229900;7,65
2023-12;235653;5,95
2023-12;1051518;5,95
2023-12;773912;4,25
2023-12;1040107;3,4
2023-12;826490;3,4
2023-12;1101035;28,9
2023-12;1037797;4,25
2023-12;838819;5,95
2023-12;723457;1,7
2023-12;1078680;0,85
2023-12;783663;1,7
2023-12;1022450;2,55
2023-12;1042712;2,55
2023-12;243083;3,4
2023-12;231776;4,25
2023-12;1086543;16,15
2023-12;1002767;28,9
2023-12;290478;1,7
2023-12;746596;2,55
2023-12;479745;1,7
2023-12;788975;1,7
2023-12;1002334;2,55
2023-12;520380;2,55
2023-12;1041119;16,15
2023-12;695594;11,9
2023-12;1004327;1,7
2023-12;812829;3,4
