numero;codigo_produto;quantidade;preco
13562;1051518;7;7
13562;723457;7;3
13562;290478;8;2
13562;1101035;8;34
13562;479745;6;2
13562;838819;6;7
13562;231776;6;5
13562;773912;6;6
13562;1040107;9;4
13562;544931;6;5
13562;788975;7;2
13562;1013793;6;6
13563;479745;8;2
13563;746596;8;4
13563;1022450;8;3
13563;1004327;8;2
13563;1042712;8;3
13563;544931;5;5
13563;231776;5;5
13563;1101035;9;35
13563;838819;8;7
13563;229900;5;9
13563;1002767;5;34
13563;243083;8;4
13563;520380;6;3
13564;235653;9;7
13564;1022450;6;3
13564;1013793;6;6
13564;544931;6;5
13564;723457;9;2
13564;290478;8;2
13564;1088126;8;8
13564;1101035;8;35
13564;1041119;6;19
13565;394479;6;2
13565;229900;7;10
13565;773912;7;6
13565;1078680;8;1
13565;520380;9;3
13565;1002334;9;3
13565;1086543;8;19
13565;788975;7;2
13565;1004327;6;2
13565;826490;7;4
13565;231776;6;6
13566;544931;7;5
13566;1096818;8;2
13566;746596;6;3
13566;394479;7;2
13566;1002767;6;34
13566;1037797;6;6
13566;1051518;7;8
13566;290478;6;3
13566;826490;7;4
13566;231776;6;6
13566;1002334;8;3
13566;723457;6;3
13567;1078680;7;1
13567;394479;5;2
13567;1088126;8;9
13567;326779;7;10
13567;1051518;6;8
13567;235653;8;7
13567;1042712;7;3
13567;695594;7;14
13567;290478;6;2
13567;1096818;7;2
13567;1037797;9;6
13567;773912;9;6
13567;1013793;8;5
13568;1013793;8;5
13568;544931;9;5
13568;826490;6;4
13568;229900;8;10
13568;1101035;8;34
13568;243083;8;5
13568;746596;6;4
13568;1096818;6;2
13568;1042712;9;3
13568;695594;9;15
13569;229900;6;9
13569;394479;5;2
13569;783663;7;2
13569;479745;5;2
13569;812829;7;4
13569;290478;7;2
13569;1086543;9;19
13569;520380;6;3
13569;326779;6;10
13569;544931;9;5
13569;1040107;8;4
13570;1004327;8;2
13570;229900;7;10
13570;1101035;8;35
13570;1078680;8;1
13570;1088126;8;9
13570;695594;5;14
13570;826490;9;4
13570;479745;8;2
13570;1002334;9;3
13570;773912;6;5
13570;1013793;6;5
13570;1022450;5;3
13570;520380;8;3
13571;394479;7;2
13571;1004327;8;3
13571;788975;5;3
13571;723457;7;3
13571;783663;6;2
13571;1042712;7;3
13571;231776;7;6
13571;290478;9;2
13572;520380;7;3
13572;773912;8;6
13572;1042712;8;3
13572;1101035;7;35
13572;1004327;8;3
13572;695594;8;14
13572;838819;7;7
13572;326779;6;10
13572;746596;9;4
13572;1086543;8;19
13572;1013793;7;6
13572;1040107;6;4
13573;1013793;8;5
13573;229900;7;10
13573;479745;7;2
13573;290478;8;2
13573;235653;5;7
13573;243083;7;4
13573;1051518;6;8
13573;783663;6;2
13573;326779;5;10
13573;1041119;7;19
13573;1088126;8;9
13573;394479;8;2
13573;1086543;7;20
13574;1002767;9;35
13574;812829;7;4
13574;229900;8;9
13574;1042712;5;3
13574;1040107;6;4
13574;394479;5;2
13574;1086543;8;20
13574;1022450;7;3
13574;1078680;8;1
13575;1040107;9;4
13575;243083;8;5
13575;1002334;8;4
13575;231776;9;6
13575;1101035;7;34
13575;1013793;7;6
13575;1004327;7;3
13575;290478;7;2
13575;783663;8;2
13575;1002767;6;35
13575;394479;5;2
13575;773912;5;6
13576;1101035;6;35
13576;1078680;7;1
13576;1002334;6;3
13576;826490;7;4
13576;788975;6;3
13576;326779;5;10
13576;1013793;9;5
13576;544931;6;5
13576;1040107;6;4
13576;746596;6;3
13577;1002767;7;34
13577;812829;5;4
13577;1037797;5;6
13577;1096818;6;2
13577;1042712;7;3
13577;1086543;7;20
13577;1101035;6;34
13577;1088126;8;8
13577;229900;5;10
13577;231776;7;5
13577;1078680;7;1
13577;773912;7;5
13577;783663;6;2
13578;544931;5;5
13578;1096818;7;2
13578;1040107;8;4
13578;812829;8;4
13578;326779;5;9
13578;1051518;9;8
13578;243083;6;5
13578;229900;6;10
13578;394479;8;2
13579;1041119;9;19
13579;1002767;8;35
13579;229900;5;9
13579;1013793;7;5
13579;773912;5;5
13579;1101035;5;34
13579;1022450;6;3
13579;783663;6;2
13579;723457;6;3
13579;235653;6;7
13579;243083;7;5
13580;746596;7;3
13580;544931;7;5
13580;520380;6;3
13580;1086543;7;19
13580;1096818;7;2
13580;1051518;5;7
13580;243083;9;4
13580;1101035;6;34
13581;826490;8;4
13581;235653;6;7
13581;1078680;7;1
13581;1042712;7;3
13581;394479;7;2
13581;695594;7;14
13581;520380;9;3
13581;1088126;8;8
13581;783663;8;2
13581;812829;9;5
13581;1041119;7;19
13581;231776;5;5
13582;1086543;5;19
13582;1004327;5;2
13582;1042712;7;3
13582;1002767;7;34
13582;1088126;9;8
13582;1037797;7;5
13582;479745;8;2
13582;1013793;7;5
13582;520380;6;3
13583;394479;8;2
13583;1004327;8;2
13583;229900;5;10
13583;1037797;6;6
13583;826490;5;4
13583;235653;5;7
13583;1096818;5;2
13583;1051518;6;8
13583;746596;5;3
13583;695594;7;14
13583;243083;6;5
13583;1086543;5;20
13584;826490;7;4
13584;1051518;9;7
13584;812829;5;4
13584;1040107;7;4
13584;231776;6;6
13584;1004327;8;3
13584;1013793;7;5
13584;1088126;6;8
13584;1086543;8;19
13584;723457;6;3
13584;520380;6;3
13584;479745;9;2
13585;1088126;6;8
13585;479745;9;2
13585;1041119;8;20
13585;1078680;7;1
13585;243083;9;4
13585;746596;6;3
13585;1040107;6;4
13585;826490;6;4
13585;1037797;6;5
13585;1004327;7;3
13585;229900;9;10
13585;1051518;7;8
13585;231776;6;6
13586;1042712;7;3
13586;1101035;6;35
13586;1022450;6;3
13586;826490;6;4
13586;1051518;8;8
13586;520380;9;3
13586;723457;7;3
13586;1096818;6;2
13586;695594;8;15
13586;394479;7;2
13586;243083;9;5
13586;326779;9;10
13586;812829;5;4
13587;1096818;6;2
13587;1040107;5;4
13587;1088126;7;8
13587;746596;8;3
13587;773912;7;6
13587;1022450;8;3
13587;479745;7;2
13587;231776;5;5
13587;394479;9;2
13587;1086543;8;19
13587;1037797;7;5
13588;1088126;7;9
13588;723457;8;2
13588;1002767;7;34
13588;235653;7;7
13588;231776;7;6
13588;773912;8;6
13588;695594;7;14
13588;812829;9;5
13588;1096818;5;2
13588;479745;5;2
13588;243083;8;5
13588;229900;9;9
13589;520380;7;3
13589;1004327;7;2
13589;695594;6;15
13589;1078680;6;1
13589;231776;8;5
13589;326779;6;10
13589;1088126;6;8
13589;1101035;8;35
13589;1037797;8;6
13589;1041119;7;19
13589;1022450;6;3
13590;1040107;9;4
13590;788975;7;3
13590;723457;7;3
13590;1042712;6;3
13590;783663;7;2
13590;838819;6;8
13590;773912;9;5
13590;1096818;9;2
13590;695594;5;15
13590;479745;7;2
13590;326779;5;9
13590;812829;7;5
13591;812829;7;5
13591;773912;9;6
13591;788975;6;2
13591;1078680;8;1
13591;1013793;7;5
13591;326779;9;9
13591;479745;6;2
13591;243083;7;5
13591;290478;8;3
13591;1004327;6;2
13592;1041119;7;19
13592;1101035;7;34
13592;479745;7;2
13592;1040107;7;4
13592;544931;7;5
13592;1088126;5;8
13592;243083;5;4
13592;1013793;7;5
13592;746596;7;4
13592;695594;6;14
13592;788975;6;3
13592;1002767;6;35
13592;520380;6;3
13592;231776;7;6
13593;520380;8;3
13593;1004327;5;2
13593;695594;6;14
13593;1037797;6;6
13593;1013793;8;5
13593;746596;8;3
13593;544931;6;5
13593;1096818;5;2
13593;1101035;8;35
13593;326779;8;10
13594;783663;8;2
13594;1096818;8;2
13594;1086543;8;19
13594;1088126;9;9
13594;229900;7;9
13594;235653;7;7
13594;326779;6;10
13594;1042712;7;3
13594;1051518;8;8
13594;1002334;6;4
13594;479745;9;2
13595;812829;8;4
13595;1037797;7;5
13595;544931;7;5
13595;1002767;9;35
13595;479745;6;2
