mes_ano;codigo_produto;preco_compra
2021-06;479745;1,7
2021-06;1040107;3,4
2021-06;1013793;4,25
2021-06;1096818;1,7
2021-06;231776;4,25
2021-06;826490;3,4
2021-06;1051518;5,95
2021-06;1086543;16,15
2021-06;394479;1,7
2021-06;1042712;2,55
2021-06;1088126;6,8
2021-06;1002767;28,9
2021-06;783663;1,7
2021-06;290478;1,7
2021-06;1022450;2,55
2021-06;326779;7,65
2021-06;243083;3,4
2021-06;773912;4,25
2021-06;788975;1,7
2021-06;1078680;0,85
2021-06;235653;5,95
2021-06;695594;11,9
2021-06;838819;5,95
2021-06;1002334;2,55
2021-06;1037797;4,25
2021-06;544931;4,25
2021-06;229900;7,65
2021-06;520380;2,55
2021-06;1041119;16,15
2021-06;723457;1,7
2021-06;746596;2,55
2021-06;812829;3,4
2021-06;1101035;28,9
2021-06;1004327;1,7
