numero;codigo_produto;quantidade;preco
85947;812829;9;5
85947;1086543;8;19
85947;1040107;5;4
85947;783663;5;2
85947;290478;7;2
85947;1078680;8;1
85947;520380;6;3
85947;773912;8;5
85948;1002334;8;4
85948;1042712;6;3
85948;235653;6;7
85948;229900;7;9
85948;520380;7;3
85948;783663;8;2
85948;1078680;6;1
85948;243083;6;4
85948;746596;9;4
85948;231776;6;5
85948;544931;6;5
85948;326779;7;10
85949;1040107;9;4
85949;1022450;7;3
85949;695594;5;15
85949;1041119;6;20
85949;544931;6;5
85949;520380;8;3
85949;479745;6;2
85949;1088126;6;9
85949;838819;5;8
85949;1096818;8;2
85949;1051518;8;8
85950;773912;7;6
85950;1041119;5;19
85950;290478;8;2
85950;838819;6;7
85950;1022450;7;3
85950;826490;5;4
85950;1004327;7;3
85950;235653;5;7
85950;695594;7;14
85950;788975;8;3
85951;479745;6;2
85951;326779;6;9
85951;1002767;8;34
85951;394479;8;2
85951;1042712;8;3
85951;1101035;7;34
85951;1037797;5;6
85951;812829;9;4
85951;544931;5;5
85951;1002334;7;4
85951;520380;6;3
85952;1042712;6;3
85952;788975;8;3
85952;723457;8;2
85952;1101035;9;34
85952;838819;8;7
85952;1040107;5;4
85952;695594;7;15
85952;1002767;8;34
85953;1022450;9;3
85953;290478;8;3
85953;1042712;5;3
85953;1037797;5;6
85953;1004327;7;3
85953;1002767;7;34
85953;520380;6;3
85953;479745;8;2
85953;1086543;7;19
85953;229900;8;9
85953;1051518;6;8
85953;788975;7;3
85953;1013793;6;6
85954;783663;8;2
85954;326779;7;9
85954;290478;7;3
85954;1022450;6;3
85954;1042712;7;3
85954;1040107;7;4
85954;788975;7;2
85954;1004327;6;2
85954;243083;6;4
85955;1096818;8;2
85955;773912;6;6
85955;812829;6;5
85955;1086543;8;20
85955;1042712;7;3
85955;235653;6;7
85955;544931;7;5
85955;326779;7;10
85955;1037797;8;6
85955;243083;7;5
85956;235653;6;7
85956;520380;9;3
85956;1037797;8;5
85956;290478;6;3
85956;544931;5;5
85956;1078680;6;1
85956;723457;6;2
85956;1042712;6;3
85956;746596;6;4
85956;783663;6;2
85957;290478;7;2
85957;479745;5;2
85957;1002334;6;4
85957;1037797;6;6
85957;1013793;5;6
85957;326779;8;10
85957;1086543;7;20
85957;788975;6;3
85957;746596;7;3
85957;773912;8;6
85958;1088126;8;9
85958;235653;6;7
85958;479745;5;2
85958;1004327;7;3
85958;1037797;5;6
85958;1002767;7;35
85958;773912;8;5
85958;788975;9;2
85959;1013793;5;6
85959;1040107;7;4
85959;1042712;7;3
85959;773912;7;6
85959;394479;7;2
85959;1086543;7;20
85959;783663;7;2
85959;326779;7;9
85959;1004327;8;2
85959;723457;5;3
85959;838819;6;7
85959;235653;6;7
85959;1101035;7;34
85960;1002767;5;34
85960;544931;8;5
85960;479745;8;2
85960;1040107;7;4
85960;1013793;8;5
85960;243083;8;5
85960;788975;6;2
85960;1078680;7;1
85960;1088126;9;8
85960;1096818;7;2
85960;1041119;9;20
85960;783663;7;2
85961;1078680;8;1
85961;290478;5;3
85961;229900;6;10
85961;544931;6;5
85961;1096818;8;2
85961;1042712;8;3
85961;788975;5;2
85961;520380;7;3
85961;773912;5;6
85961;1101035;8;35
85961;1013793;9;5
85961;326779;8;10
85962;1013793;7;5
85962;1051518;7;8
85962;394479;7;2
85962;723457;7;3
85962;1002334;6;3
85962;231776;6;5
85962;773912;8;6
85962;229900;7;10
85963;1022450;6;3
85963;394479;7;2
85963;723457;6;3
85963;1086543;6;19
85963;788975;6;2
85963;1078680;5;1
85963;812829;8;4
85963;326779;7;9
85963;1041119;8;20
85963;826490;7;4
85963;1040107;6;4
85964;1078680;7;1
85964;1096818;6;2
85964;1041119;9;20
85964;838819;8;8
85964;479745;9;2
85964;1088126;6;9
85964;812829;6;4
85964;520380;7;3
85964;695594;9;14
85964;544931;7;5
85964;826490;7;4
85964;1002767;7;35
85965;1040107;7;4
85965;1051518;6;8
85965;1037797;7;5
85965;544931;7;5
85965;723457;5;3
85965;1002767;5;34
85965;235653;7;7
85965;520380;9;3
85965;812829;7;4
85965;826490;6;4
85965;229900;8;9
85966;1078680;7;1
85966;788975;8;3
85966;1086543;7;19
85966;326779;8;10
85966;1051518;8;7
85966;1088126;7;8
85966;1041119;5;20
85966;723457;5;2
85966;1042712;6;3
85966;695594;5;14
85966;243083;6;4
85966;812829;9;5
85966;773912;6;6
85967;826490;5;4
85967;229900;7;9
85967;783663;7;2
85967;1078680;8;1
85967;1042712;7;3
85967;1037797;9;6
85967;1022450;9;3
85967;1002767;9;35
85967;479745;6;2
85967;231776;7;5
85967;235653;8;7
85967;520380;9;3
85968;229900;7;10
85968;773912;8;6
85968;1041119;7;19
85968;1042712;7;3
85968;1078680;6;1
85968;235653;7;7
85968;1013793;9;6
85968;1002767;8;34
85968;1037797;6;5
85968;1086543;6;19
85969;1078680;6;1
85969;243083;7;5
85969;1096818;9;2
85969;723457;8;2
85969;1101035;8;34
85969;231776;7;6
85969;783663;7;2
85969;1041119;7;19
85970;1042712;7;3
85970;1051518;6;7
85970;235653;9;7
85970;1088126;6;9
85970;1101035;8;34
85970;695594;6;14
85970;838819;8;7
85970;1041119;6;19
85970;746596;6;3
85971;723457;7;3
85971;235653;6;7
85971;1101035;5;34
85971;746596;5;3
85971;1041119;9;19
85971;520380;6;3
85971;231776;6;5
85971;1022450;7;3
85972;1078680;9;1
85972;231776;7;6
85972;1051518;6;7
85972;723457;8;2
85972;1022450;7;3
85972;783663;8;2
85972;773912;5;5
85972;1040107;6;4
85972;229900;7;10
85972;746596;7;3
85972;1086543;8;20
85972;1096818;6;2
85972;826490;5;4
85973;235653;6;7
85973;520380;7;3
85973;479745;7;2
85973;1002767;9;35
85973;394479;8;2
85973;1037797;8;6
85973;1042712;5;3
85973;746596;5;4
85973;1088126;8;8
85973;544931;7;5
85973;229900;5;10
85973;290478;6;3
